Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM10,PM25
09/30/2021,64,PM2.5,,40-115-9007,AQS,35,31,64
09/30/2022,67,PM2.5,,40-115-9007,AQS,31,37,67
09/30/2023,54,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,44,31,54
09/30/2024,47,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,38,22,47
09/30/2025,70,PM2.5,,40-115-9007,AQS,48,42,70
10/13/2021,22,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,22
10/13/2022,42,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,37,36,42
10/13/2023,26,PM10,QUAPAW SHELTER,40-115-9004,AQS,22,26,24
10/13/2024,61,PM10,QUAPAW SHELTER,40-115-9004,AQS,.,61,56
10/14/2021,38,PM2.5,,40-115-9007,AQS,.,17,38
10/14/2022,53,PM2.5,,40-115-9007,AQS,45,45,53
10/14/2023,13,Ozone,QUAPAW SHELTER,40-115-9004,AQS,13,8,9
10/14/2024,37,PM10,,40-115-9007,AQS,.,37,31
10/15/2021,37,PM2.5,,40-115-9007,AQS,.,19,37
10/15/2022,49,PM2.5,,40-115-9007,AQS,49,34,49
10/15/2023,25,Ozone,QUAPAW SHELTER,40-115-9004,AQS,25,6,15
10/15/2024,44,PM10,QUAPAW SHELTER,40-115-9004,AQS,.,44,29
10/16/2021,31,PM2.5,,40-115-9007,AQS,.,16,31
10/16/2022,45,PM2.5,,40-115-9007,AQS,31,26,45
10/16/2023,32,Ozone,QUAPAW SHELTER,40-115-9004,AQS,32,19,26
10/16/2024,61,PM10,QUAPAW SHELTER,40-115-9004,AQS,.,61,53
10/17/2021,52,PM2.5,,40-115-9007,AQS,.,22,52
10/17/2022,36,PM2.5,,40-115-9007,AQS,34,35,36
10/17/2023,36,Ozone,QUAPAW SHELTER,40-115-9004,AQS,36,21,31
10/17/2024,52,PM2.5,,40-115-9007,AQS,.,51,52
10/18/2021,55,PM2.5,,40-115-9007,AQS,.,26,55
10/18/2022,37,PM10,,40-115-9007,AQS,34,37,36
10/18/2023,47,Ozone,QUAPAW SHELTER,40-115-9004,AQS,47,28,34
10/18/2024,49,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,44,49
10/19/2021,60,PM2.5,,40-115-9007,AQS,.,32,60
10/19/2022,51,PM10,,40-115-9007,AQS,36,51,48
10/19/2023,43,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,33,34,43
10/19/2024,67,PM10,QUAPAW SHELTER,40-115-9004,AQS,.,67,61
10/20/2021,76,PM2.5,,40-115-9007,AQS,.,44,76
10/20/2022,52,PM2.5,,40-115-9007,AQS,48,51,52
10/20/2023,44,PM10,,40-115-9007,AQS,34,44,40
10/20/2024,87,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,87,87
10/21/2021,39,PM2.5,,40-115-9007,AQS,31,34,39
10/21/2022,71,Ozone,QUAPAW SHELTER,40-115-9004,AQS,71,44,54
10/21/2023,40,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,39,32,40
10/21/2024,61,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,53,61
10/22/2021,55,PM2.5,,40-115-9007,AQS,44,43,55
10/22/2022,47,PM2.5,,40-115-9007,AQS,46,44,47
10/22/2023,34,Ozone,QUAPAW SHELTER,40-115-9004,AQS,34,31,31
10/22/2024,51,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,34,51
10/23/2021,62,PM2.5,,40-115-9007,AQS,38,27,62
10/23/2022,46,PM2.5,,40-115-9007,AQS,38,38,46
10/23/2023,56,PM2.5,,40-115-9007,AQS,33,46,56
10/23/2024,55,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,46,44,55
10/24/2021,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,32,20,52
10/24/2022,34,PM2.5,,40-115-9007,AQS,31,12,34
10/24/2023,35,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,30,13,35
10/24/2024,57,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,46,44,57
10/25/2021,36,PM2.5,,40-115-9007,AQS,30,22,36
10/25/2022,29,Ozone,QUAPAW SHELTER,40-115-9004,AQS,29,8,23
10/25/2023,56,PM2.5,,40-115-9007,AQS,32,18,56
10/25/2024,49,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,40,31,49
10/26/2021,58,PM2.5,,40-115-9007,AQS,37,37,58
10/26/2022,38,Ozone,QUAPAW SHELTER,40-115-9004,AQS,38,17,37
10/26/2023,31,Ozone,QUAPAW SHELTER,40-115-9004,AQS,31,8,26
10/26/2024,40,Ozone,QUAPAW SHELTER,40-115-9004,AQS,40,16,27
10/27/2021,60,PM2.5,,40-115-9007,AQS,32,39,60
10/27/2022,39,PM2.5,,40-115-9007,AQS,28,15,39
