Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM10,PM25
06/03/2021,63,PM2.5,,40-115-9007,AQS,27,15,63
07/03/2021,88,PM2.5,,40-115-9007,AQS,46,39,88
08/03/2021,152,PM2.5,,40-115-9007,AQS,51,64,152
09/03/2021,87,PM2.5,,40-115-9007,AQS,47,56,87
10/03/2021,58,PM2.5,,40-115-9007,AQS,38,21,58
11/03/2021,56,PM2.5,,40-115-9007,AQS,24,36,56
12/03/2021,54,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,54
01/04/2021,56,PM2.5,,40-115-9007,AQS,.,11,56
02/04/2021,58,PM2.5,,40-115-9007,AQS,.,15,58
03/04/2021,107,PM2.5,,40-115-9007,AQS,30,29,107
04/04/2021,72,PM2.5,,40-115-9007,AQS,26,24,72
05/04/2021,38,PM2.5,,40-115-9007,AQS,16,11,38
06/04/2021,61,PM2.5,,40-115-9007,AQS,26,16,61
07/04/2021,94,PM2.5,,40-115-9007,AQS,47,43,94
08/04/2021,135,PM2.5,,40-115-9007,AQS,64,62,135
09/04/2021,71,PM2.5,,40-115-9007,AQS,37,36,71
10/04/2021,61,PM2.5,,40-115-9007,AQS,46,30,61
11/04/2021,66,PM2.5,,40-115-9007,AQS,31,48,66
12/04/2021,47,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,47
01/05/2021,46,PM2.5,,40-115-9007,AQS,.,9,46
02/05/2021,49,PM2.5,,40-115-9007,AQS,.,14,49
03/05/2021,79,PM2.5,,40-115-9007,AQS,.,20,79
04/05/2021,65,PM2.5,,40-115-9007,AQS,23,22,65
05/05/2021,28,Ozone,QUAPAW SHELTER,40-115-9004,AQS,28,12,17
06/05/2021,70,PM2.5,,40-115-9007,AQS,22,14,70
07/05/2021,95,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,48,38,95
08/05/2021,133,PM2.5,,40-115-9007,AQS,50,62,133
09/05/2021,59,PM2.5,,40-115-9007,AQS,45,24,59
10/05/2021,63,PM2.5,,40-115-9007,AQS,40,32,63
11/05/2021,66,PM2.5,,40-115-9007,AQS,36,45,66
12/05/2021,56,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,56
01/06/2021,37,PM2.5,,40-115-9007,AQS,.,6,37
02/06/2021,53,PM2.5,,40-115-9007,AQS,.,12,53
03/06/2021,68,PM2.5,,40-115-9007,AQS,26,16,68
04/06/2021,67,PM2.5,,40-115-9007,AQS,20,25,67
05/06/2021,17,PM10,,40-115-9007,AQS,.,17,7
06/06/2021,46,PM2.5,,40-115-9007,AQS,22,6,46
07/06/2021,84,PM2.5,,40-115-9007,AQS,50,52,84
08/06/2021,106,PM2.5,,40-115-9007,AQS,58,54,106
09/06/2021,93,Ozone,QUAPAW SHELTER,40-115-9004,AQS,93,39,78
10/06/2021,62,PM2.5,,40-115-9007,AQS,31,25,62
11/06/2021,73,PM2.5,,40-115-9007,AQS,42,47,73
12/06/2021,24,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,24
01/07/2021,56,PM2.5,,40-115-9007,AQS,.,9,56
02/07/2021,59,PM2.5,,40-115-9007,AQS,.,12,59
03/07/2021,73,PM2.5,,40-115-9007,AQS,24,18,73
04/07/2021,52,PM2.5,,40-115-9007,AQS,19,18,52
05/07/2021,31,PM2.5,,40-115-9007,AQS,19,19,31
06/07/2021,48,PM2.5,,40-115-9007,AQS,23,9,48
07/07/2021,84,PM2.5,,40-115-9007,AQS,49,45,84
08/07/2021,97,PM2.5,,40-115-9007,AQS,54,51,97
09/07/2021,97,Ozone,QUAPAW SHELTER,40-115-9004,AQS,97,51,87
10/07/2021,68,PM2.5,,40-115-9007,AQS,51,31,68
11/07/2021,73,PM2.5,,40-115-9007,AQS,48,48,73
12/07/2021,71,PM2.5,,40-115-9007,AQS,.,.,71
01/08/2021,57,PM2.5,,40-115-9007,AQS,.,10,57
02/08/2021,57,PM2.5,,40-115-9007,AQS,.,11,57
03/08/2021,169,PM2.5,,40-115-9007,AQS,29,45,169
04/08/2021,33,PM2.5,,40-115-9007,AQS,25,17,33
05/08/2021,46,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,26,23,46
06/08/2021,60,PM2.5,,40-115-9007,AQS,21,13,60
07/08/2021,61,PM2.5,,40-115-9007,AQS,46,31,61
08/08/2021,70,PM2.5,,40-115-9007,AQS,35,35,70
09/08/2021,60,PM2.5,,40-115-9007,AQS,58,40,60
10/08/2021,101,Ozone,QUAPAW SHELTER,40-115-9004,AQS,101,51,76
11/08/2021,77,PM2.5,,40-115-9007,AQS,51,52,77
12/08/2021,77,PM2.5,,40-115-9007,AQS,.,.,77
01/09/2021,65,PM2.5,,40-115-9007,AQS,.,15,65
02/09/2021,66,PM2.5,,40-115-9007,AQS,.,14,66
03/09/2021,148,PM2.5,,40-115-9007,AQS,26,50,148
04/09/2021,60,PM2.5,,40-115-9007,AQS,28,23,60
05/09/2021,24,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,19,10,24
06/09/2021,66,PM2.5,,40-115-9007,AQS,25,21,66
07/09/2021,63,PM2.5,,40-115-9007,AQS,41,34,63
08/09/2021,66,PM2.5,,40-115-9007,AQS,28,40,66
09/09/2021,87,Ozone,QUAPAW SHELTER,40-115-9004,AQS,87,51,62
10/09/2021,90,Ozone,QUAPAW SHELTER,40-115-9004,AQS,90,44,72
11/09/2021,78,PM2.5,,40-115-9007,AQS,43,52,78
12/09/2021,78,PM2.5,,40-115-9007,AQS,.,.,78
01/10/2021,76,PM2.5,,40-115-9007,AQS,.,19,76
02/10/2021,72,PM2.5,,40-115-9007,AQS,.,15,72
03/10/2021,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,23,31,52
04/10/2021,43,PM2.5,,40-115-9007,AQS,21,10,43
05/10/2021,30,PM2.5,,40-115-9007,AQS,19,10,30
06/10/2021,82,PM2.5,,40-115-9007,AQS,21,28,82
07/10/2021,54,PM2.5,,40-115-9007,AQS,37,21,54
08/10/2021,67,PM2.5,,40-115-9007,AQS,31,39,67
09/10/2021,97,Ozone,QUAPAW SHELTER,40-115-9004,AQS,97,52,67
10/10/2021,69,PM2.5,,40-115-9007,AQS,49,31,69
11/10/2021,75,PM2.5,,40-115-9007,AQS,41,57,75
12/10/2021,74,PM2.5,,40-115-9007,AQS,.,.,74
01/11/2021,59,PM2.5,,40-115-9007,AQS,.,.,59
02/11/2021,61,PM2.5,,40-115-9007,AQS,.,17,61
03/11/2021,26,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,8,9,26
04/11/2021,64,PM2.5,,40-115-9007,AQS,29,22,64
05/11/2021,60,PM2.5,,40-115-9007,AQS,20,16,60
06/11/2021,74,PM2.5,,40-115-9007,AQS,16,34,74
07/11/2021,55,PM2.5,,40-115-9007,AQS,46,19,55
08/11/2021,69,PM2.5,,40-115-9007,AQS,42,51,69
09/11/2021,93,Ozone,QUAPAW SHELTER,40-115-9004,AQS,93,49,72
10/11/2021,55,PM2.5,,40-115-9007,AQS,40,20,55
11/11/2021,35,Ozone,QUAPAW SHELTER,40-115-9004,AQS,35,31,29
12/11/2021,68,PM2.5,,40-115-9007,AQS,.,30,68
01/12/2021,60,PM2.5,,40-115-9007,AQS,.,.,60
02/12/2021,57,PM2.5,,40-115-9007,AQS,.,18,57
03/12/2021,46,PM2.5,,40-115-9007,AQS,12,6,46
04/12/2021,41,PM2.5,,40-115-9007,AQS,24,15,41
05/12/2021,48,PM2.5,,40-115-9007,AQS,22,15,48
06/12/2021,68,PM2.5,,40-115-9007,AQS,24,21,68
07/12/2021,56,PM2.5,,40-115-9007,AQS,41,21,56
08/12/2021,61,PM2.5,,40-115-9007,AQS,42,37,61
09/12/2021,81,PM2.5,,40-115-9007,AQS,77,46,81
10/12/2021,47,Ozone,QUAPAW SHELTER,40-115-9004,AQS,47,.,33
11/12/2021,39,PM10,,40-115-9007,AQS,36,39,25
12/12/2021,60,PM2.5,,40-115-9007,AQS,.,22,60
01/01/2022,59,PM2.5,,40-115-9007,AQS,.,20,59
02/01/2022,27,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,0,27
03/01/2022,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,3,52
04/01/2022,53,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,47,.,53
05/01/2022,63,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,50,.,63
06/01/2022,51,Ozone,QUAPAW SHELTER,40-115-9004,AQS,51,.,31
07/01/2022,85,PM2.5,,40-115-9007,AQS,34,.,85
08/01/2022,61,PM2.5,,40-115-9007,AQS,46,43,61
09/01/2022,53,PM2.5,,40-115-9007,AQS,47,27,53
10/01/2022,43,PM2.5,,40-115-9007,AQS,32,22,43
11/01/2022,62,PM2.5,,40-115-9007,AQS,49,31,62
12/01/2022,45,PM2.5,,40-115-9007,AQS,.,22,45
01/02/2022,59,PM2.5,,40-115-9007,AQS,.,20,59
02/02/2022,18,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,1,18
03/02/2022,93,Ozone,QUAPAW SHELTER,40-115-9004,AQS,93,1,56
04/02/2022,50,Ozone,QUAPAW SHELTER,40-115-9004,AQS,50,.,18
05/02/2022,38,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,34,.,38
06/02/2022,45,Ozone,QUAPAW SHELTER,40-115-9004,AQS,45,.,23
07/02/2022,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,28,.,52
08/02/2022,64,Ozone,QUAPAW SHELTER,40-115-9004,AQS,64,31,53
09/02/2022,37,Ozone,QUAPAW SHELTER,40-115-9004,AQS,37,9,27
10/02/2022,54,PM2.5,,40-115-9007,AQS,31,26,54
11/02/2022,67,PM2.5,,40-115-9007,AQS,43,37,67
12/02/2022,42,PM2.5,,40-115-9007,AQS,.,19,42
01/03/2022,56,PM2.5,,40-115-9007,AQS,.,19,56
02/03/2022,27,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,0,27
03/03/2022,115,Ozone,QUAPAW SHELTER,40-115-9004,AQS,115,1,94
04/03/2022,48,Ozone,QUAPAW SHELTER,40-115-9004,AQS,48,.,18
05/03/2022,35,Ozone,QUAPAW SHELTER,40-115-9004,AQS,35,.,18
06/03/2022,34,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,31,.,34
07/03/2022,41,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,19,.,41
08/03/2022,64,Ozone,QUAPAW SHELTER,40-115-9004,AQS,64,35,53
09/03/2022,40,Ozone,QUAPAW SHELTER,40-115-9004,AQS,40,12,38
10/03/2022,58,PM2.5,,40-115-9007,AQS,31,38,58
11/03/2022,73,PM2.5,,40-115-9007,AQS,41,33,73
12/03/2022,54,PM2.5,,40-115-9007,AQS,.,22,54
01/04/2022,58,PM2.5,,40-115-9007,AQS,.,21,58
02/04/2022,43,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,0,43
03/04/2022,120,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,87,0,120
04/04/2022,38,Ozone,QUAPAW SHELTER,40-115-9004,AQS,38,.,18
05/04/2022,27,Ozone,QUAPAW SHELTER,40-115-9004,AQS,27,.,23
06/04/2022,33,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,28,.,33
07/04/2022,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,19,.,52
08/04/2022,48,PM2.5,,40-115-9007,AQS,35,19,48
09/04/2022,55,PM2.5,,40-115-9007,AQS,43,21,55
10/04/2022,60,PM2.5,,40-115-9007,AQS,34,41,60
11/04/2022,58,PM2.5,,40-115-9007,AQS,28,29,58
12/04/2022,59,PM2.5,,40-115-9007,AQS,.,22,59
01/05/2022,59,PM2.5,,40-115-9007,AQS,.,21,59
02/05/2022,56,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,0,56
03/05/2022,68,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,42,0,68
04/05/2022,51,Ozone,QUAPAW SHELTER,40-115-9004,AQS,51,.,18
05/05/2022,32,Ozone,QUAPAW SHELTER,40-115-9004,AQS,32,.,13
06/05/2022,35,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,24,.,35
07/05/2022,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,47,.,52
08/05/2022,62,PM2.5,,40-115-9007,AQS,35,37,62
09/05/2022,53,PM2.5,,40-115-9007,AQS,42,17,53
10/05/2022,60,PM2.5,,40-115-9007,AQS,41,50,60
11/05/2022,31,Ozone,QUAPAW SHELTER,40-115-9004,AQS,31,6,21
12/05/2022,61,PM2.5,,40-115-9007,AQS,.,23,61
01/06/2022,59,PM2.5,,40-115-9007,AQS,.,20,59
02/06/2022,41,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,1,41
03/06/2022,54,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,31,1,54
04/06/2022,46,Ozone,QUAPAW SHELTER,40-115-9004,AQS,46,.,18
05/06/2022,36,Ozone,QUAPAW SHELTER,40-115-9004,AQS,36,.,13
06/06/2022,36,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,24,.,36
07/06/2022,106,PM2.5,,40-115-9007,AQS,49,.,106
08/06/2022,62,PM2.5,,40-115-9007,AQS,37,28,62
09/06/2022,54,PM2.5,,40-115-9007,AQS,46,19,54
10/06/2022,67,PM2.5,,40-115-9007,AQS,31,51,67
11/06/2022,43,PM2.5,,40-115-9007,AQS,43,16,43
12/06/2022,71,PM2.5,,40-115-9007,AQS,.,25,71
01/07/2022,57,PM2.5,,40-115-9007,AQS,.,19,57
02/07/2022,29,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,0,29
03/07/2022,45,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,36,2,45
04/07/2022,41,Ozone,QUAPAW SHELTER,40-115-9004,AQS,41,.,18
05/07/2022,44,Ozone,QUAPAW SHELTER,40-115-9004,AQS,44,.,28
06/07/2022,44,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,24,.,44
07/07/2022,89,PM2.5,,40-115-9007,AQS,46,.,89
08/07/2022,52,PM2.5,,40-115-9007,AQS,43,20,52
09/07/2022,55,PM2.5,,40-115-9007,AQS,42,20,55
10/07/2022,92,PM2.5,,40-115-9007,AQS,25,60,92
11/07/2022,39,PM2.5,,40-115-9007,AQS,32,16,39
12/07/2022,74,PM2.5,,40-115-9007,AQS,.,28,74
01/08/2022,60,PM2.5,,40-115-9007,AQS,.,22,60
02/08/2022,19,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,0,19
03/08/2022,54,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,34,1,54
04/08/2022,40,Ozone,QUAPAW SHELTER,40-115-9004,AQS,40,.,18
05/08/2022,55,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,42,.,55
06/08/2022,22,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,19,.,22
07/08/2022,94,PM2.5,,40-115-9007,AQS,87,.,94
08/08/2022,64,Ozone,QUAPAW SHELTER,40-115-9004,AQS,64,34,56
09/08/2022,55,PM2.5,,40-115-9007,AQS,47,24,55
10/08/2022,52,PM2.5,,40-115-9007,AQS,23,41,52
11/08/2022,57,PM2.5,,40-115-9007,AQS,21,18,57
12/08/2022,57,PM2.5,,40-115-9007,AQS,.,15,57
01/09/2022,56,PM2.5,,40-115-9007,AQS,.,19,56
02/09/2022,24,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,0,24
03/09/2022,56,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,43,1,56
04/09/2022,51,Ozone,QUAPAW SHELTER,40-115-9004,AQS,51,.,18
05/09/2022,76,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,33,.,76
06/09/2022,29,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,29
07/09/2022,61,PM2.5,,40-115-9007,AQS,47,.,61
08/09/2022,58,Ozone,QUAPAW SHELTER,40-115-9004,AQS,58,17,41
09/09/2022,59,PM2.5,,40-115-9007,AQS,49,28,59
10/09/2022,57,PM2.5,,40-115-9007,AQS,34,40,57
11/09/2022,67,PM2.5,,40-115-9007,AQS,30,26,67
12/09/2022,54,PM2.5,,40-115-9007,AQS,.,13,54
01/10/2022,53,PM2.5,,40-115-9007,AQS,.,17,53
02/10/2022,26,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,0,26
03/10/2022,53,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,32,1,53
04/10/2022,50,Ozone,QUAPAW SHELTER,40-115-9004,AQS,50,.,18
05/10/2022,70,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,29,.,70
06/10/2022,45,Ozone,QUAPAW SHELTER,40-115-9004,AQS,45,.,28
07/10/2022,55,PM2.5,,40-115-9007,AQS,49,.,55
08/10/2022,58,Ozone,QUAPAW SHELTER,40-115-9004,AQS,58,24,52
09/10/2022,58,PM2.5,,40-115-9007,AQS,54,29,58
10/10/2022,74,PM2.5,,40-115-9007,AQS,33,43,74
11/10/2022,66,PM2.5,,40-115-9007,AQS,38,27,66
12/10/2022,51,PM2.5,,40-115-9007,AQS,.,11,51
01/11/2022,53,PM2.5,,40-115-9007,AQS,.,17,53
02/11/2022,24,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,0,24
03/11/2022,46,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,44,1,46
04/11/2022,43,Ozone,QUAPAW SHELTER,40-115-9004,AQS,43,.,18
05/11/2022,59,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,21,.,59
06/11/2022,43,Ozone,QUAPAW SHELTER,40-115-9004,AQS,43,.,34
07/11/2022,72,PM2.5,,40-115-9007,AQS,64,.,72
08/11/2022,80,Ozone,QUAPAW SHELTER,40-115-9004,AQS,80,33,55
09/11/2022,36,PM2.5,,40-115-9007,AQS,36,15,36
10/11/2022,65,PM2.5,,40-115-9007,AQS,46,28,65
11/11/2022,27,PM2.5,,40-115-9007,AQS,26,8,27
12/11/2022,47,PM2.5,,40-115-9007,AQS,.,11,47
01/12/2022,31,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,9,31
02/12/2022,18,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,18
03/12/2022,43,Ozone,QUAPAW SHELTER,40-115-9004,AQS,43,1,32
04/12/2022,36,Ozone,QUAPAW SHELTER,40-115-9004,AQS,36,.,18
05/12/2022,56,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,28,.,56
06/12/2022,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,40,.,52
07/12/2022,68,PM2.5,,40-115-9007,AQS,61,.,68
08/12/2022,54,PM2.5,,40-115-9007,AQS,50,24,54
09/12/2022,52,PM2.5,,40-115-9007,AQS,49,32,52
10/12/2022,54,PM2.5,,40-115-9007,AQS,42,22,54
11/12/2022,45,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,26,12,45
12/12/2022,27,PM2.5,,40-115-9007,AQS,.,7,27
01/01/2023,55,PM2.5,,40-115-9007,AQS,.,18,55
02/01/2023,55,PM2.5,,40-115-9007,AQS,.,18,55
03/01/2023,53,PM2.5,,40-115-9007,AQS,.,28,53
04/01/2023,52,PM2.5,,40-115-9007,AQS,47,26,52
05/01/2023,47,Ozone,QUAPAW SHELTER,40-115-9004,AQS,47,28,37
06/01/2023,88,PM2.5,,40-115-9007,AQS,61,53,88
07/01/2023,39,PM2.5,,40-115-9007,AQS,31,17,39
08/01/2023,61,PM2.5,,40-115-9007,AQS,58,40,61
09/01/2023,51,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,50,39,51
10/01/2023,61,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,48,39,61
11/01/2023,29,Ozone,QUAPAW SHELTER,40-115-9004,AQS,29,16,23
12/01/2023,53,PM2.5,,40-115-9007,AQS,.,13,53
01/02/2023,67,PM2.5,,40-115-9007,AQS,.,24,67
02/02/2023,56,PM2.5,,40-115-9007,AQS,.,24,56
03/02/2023,51,PM2.5,,40-115-9007,AQS,33,18,51
04/02/2023,58,PM2.5,,40-115-9007,AQS,49,33,58
05/02/2023,51,Ozone,QUAPAW SHELTER,40-115-9004,AQS,51,39,44
06/02/2023,82,PM2.5,,40-115-9007,AQS,74,55,82
07/02/2023,31,PM2.5,,40-115-9007,AQS,30,8,31
08/02/2023,71,Ozone,QUAPAW SHELTER,40-115-9004,AQS,71,34,56
09/02/2023,53,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,50,41,53
10/02/2023,69,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,46,45,69
11/02/2023,38,Ozone,QUAPAW SHELTER,40-115-9004,AQS,38,14,31
12/02/2023,55,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,14,55
01/03/2023,52,PM2.5,,40-115-9007,AQS,.,14,52
02/03/2023,53,PM2.5,,40-115-9007,AQS,.,22,53
03/03/2023,48,PM2.5,,40-115-9007,AQS,33,10,48
04/03/2023,57,PM2.5,,40-115-9007,AQS,.,28,57
05/03/2023,74,Ozone,QUAPAW SHELTER,40-115-9004,AQS,74,56,59
06/03/2023,69,PM2.5,,40-115-9007,AQS,49,52,69
07/03/2023,30,Ozone,QUAPAW SHELTER,40-115-9004,AQS,30,0,1
08/03/2023,80,Ozone,QUAPAW SHELTER,40-115-9004,AQS,80,36,57
09/03/2023,65,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,58,47,65
10/03/2023,57,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,39,31,57
11/03/2023,52,PM2.5,,40-115-9007,AQS,49,21,52
12/03/2023,38,PM2.5,,40-115-9007,AQS,.,11,38
01/04/2023,40,PM2.5,,40-115-9007,AQS,.,14,40
02/04/2023,58,PM2.5,,40-115-9007,AQS,.,19,58
03/04/2023,55,PM2.5,,40-115-9007,AQS,43,15,55
04/04/2023,88,PM2.5,,40-115-9007,AQS,35,45,88
05/04/2023,63,PM2.5,,40-115-9007,AQS,30,33,63
06/04/2023,122,Ozone,QUAPAW SHELTER,40-115-9004,AQS,122,55,75
07/04/2023,26,Ozone,QUAPAW SHELTER,40-115-9004,AQS,26,0,1
08/04/2023,71,Ozone,QUAPAW SHELTER,40-115-9004,AQS,71,44,56
09/04/2023,55,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,54,28,55
10/04/2023,46,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,31,16,46
11/04/2023,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,45,22,52
12/04/2023,29,PM2.5,,40-115-9007,AQS,.,12,29
01/05/2023,33,PM2.5,,40-115-9007,AQS,.,17,33
02/05/2023,53,PM2.5,,40-115-9007,AQS,.,16,53
03/05/2023,64,Ozone,QUAPAW SHELTER,40-115-9004,AQS,64,18,50
04/05/2023,43,PM2.5,,40-115-9007,AQS,39,17,43
05/05/2023,66,PM2.5,,40-115-9007,AQS,43,27,66
06/05/2023,101,Ozone,QUAPAW SHELTER,40-115-9004,AQS,101,69,91
07/05/2023,32,PM2.5,,40-115-9007,AQS,23,12,32
08/05/2023,45,Ozone,QUAPAW SHELTER,40-115-9004,AQS,45,11,19
09/05/2023,48,Ozone,QUAPAW SHELTER,40-115-9004,AQS,48,26,41
10/05/2023,35,Ozone,QUAPAW SHELTER,40-115-9004,AQS,35,13,23
11/05/2023,49,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,41,17,49
12/05/2023,19,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,13,19
01/06/2023,42,PM2.5,,40-115-9007,AQS,.,20,42
02/06/2023,54,PM2.5,,40-115-9007,AQS,.,23,54
03/06/2023,56,PM2.5,,40-115-9007,AQS,47,29,56
04/06/2023,54,PM2.5,,40-115-9007,AQS,46,24,54
05/06/2023,83,PM2.5,,40-115-9007,AQS,49,40,83
06/06/2023,122,Ozone,QUAPAW SHELTER,40-115-9004,AQS,122,44,99
07/06/2023,53,PM2.5,,40-115-9007,AQS,20,27,53
08/06/2023,44,Ozone,QUAPAW SHELTER,40-115-9004,AQS,44,8,18
09/06/2023,98,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,46,63,98
10/06/2023,27,Ozone,QUAPAW SHELTER,40-115-9004,AQS,27,22,24
11/06/2023,42,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,38,23,42
12/06/2023,32,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,16,32
01/07/2023,58,PM2.5,,40-115-9007,AQS,.,20,58
02/07/2023,41,PM2.5,,40-115-9007,AQS,.,11,41
03/07/2023,57,PM2.5,,40-115-9007,AQS,36,18,57
04/07/2023,56,PM2.5,,40-115-9007,AQS,47,21,56
05/07/2023,73,PM2.5,,40-115-9007,AQS,48,33,73
06/07/2023,119,Ozone,QUAPAW SHELTER,40-115-9004,AQS,119,34,66
07/07/2023,58,PM2.5,,40-115-9007,AQS,15,34,58
08/07/2023,55,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,47,20,55
10/07/2023,25,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,25,19,25
11/07/2023,42,PM2.5,,40-115-9007,AQS,34,19,42
12/07/2023,29,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,18,29
01/08/2023,76,PM2.5,,40-115-9007,AQS,.,29,76
02/08/2023,48,PM2.5,,40-115-9007,AQS,.,11,48
03/08/2023,85,PM2.5,,40-115-9007,AQS,31,31,85
04/08/2023,53,PM2.5,,40-115-9007,AQS,51,18,53
05/08/2023,75,PM2.5,,40-115-9007,AQS,61,35,75
06/08/2023,97,Ozone,QUAPAW SHELTER,40-115-9004,AQS,97,49,69
07/08/2023,43,PM2.5,,40-115-9007,AQS,18,17,43
08/08/2023,52,PM2.5,,40-115-9007,AQS,49,31,52
09/08/2023,48,Ozone,QUAPAW SHELTER,40-115-9004,AQS,48,.,.
10/08/2023,43,Ozone,QUAPAW SHELTER,40-115-9004,AQS,43,20,33
11/08/2023,43,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,39,31,43
12/08/2023,39,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,16,39
01/09/2023,59,PM2.5,,40-115-9007,AQS,.,27,59
02/09/2023,38,PM2.5,,40-115-9007,AQS,.,9,38
03/09/2023,56,PM2.5,,40-115-9007,AQS,23,15,56
04/09/2023,49,PM2.5,,40-115-9007,AQS,47,23,49
05/09/2023,64,PM2.5,,40-115-9007,AQS,44,31,64
06/09/2023,60,PM2.5,,40-115-9007,AQS,51,31,60
07/09/2023,42,PM2.5,,40-115-9007,AQS,27,17,42
08/09/2023,37,PM2.5,,40-115-9007,AQS,31,13,37
09/09/2023,51,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,46,.,51
10/09/2023,40,Ozone,QUAPAW SHELTER,40-115-9004,AQS,40,26,31
11/09/2023,33,PM10,,40-115-9007,AQS,24,33,31
12/09/2023,14,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,9,14
01/10/2023,64,PM2.5,,40-115-9007,AQS,.,34,64
02/10/2023,52,PM2.5,,40-115-9007,AQS,.,12,52
03/10/2023,57,PM2.5,,40-115-9007,AQS,34,14,57
04/10/2023,54,PM2.5,,40-115-9007,AQS,41,34,54
05/10/2023,59,PM2.5,,40-115-9007,AQS,41,22,59
06/10/2023,49,Ozone,QUAPAW SHELTER,40-115-9004,AQS,49,13,39
07/10/2023,56,PM2.5,,40-115-9007,AQS,.,26,56
08/10/2023,49,Ozone,QUAPAW SHELTER,40-115-9004,AQS,49,18,33
09/10/2023,40,Ozone,QUAPAW SHELTER,40-115-9004,AQS,40,.,.
10/10/2023,40,Ozone,QUAPAW SHELTER,40-115-9004,AQS,40,30,32
